RBD,NOM_RBD,COD_COM_RBD,COD_DEPE2,LATITUD,LONGITUD,MAT_TOTAL,ESTADO_ESTAB,ENS_01
8906,COLEGIO SAINT GEORGE S COLLEGE,13132,3,-33.386459,-70.60084,2534,1,10
8909,COLEGIO BRADFORD SCHOOL,13132,3,-33.38398999999999,-70.57339,1178,1,10
8911,COLEGIO ARABE,13114,3,-33.400787,-70.56663,349,1,10
8914,COLEGIO WILLIAM KILPATRICK,13114,3,-33.394647,-70.5214,248,1,110
8917,COLEGIO CRAIGHOUSE,13115,3,-33.35390799999999,-70.52275,1885,1,10
8919,COLEGIO SAN PEDRO NOLASCO,13132,3,-33.398148,-70.573,1025,1,10
8921,COLEGIO BRITISH HIGH,13114,3,-33.38921,-70.53135,400,1,10
8923,LYCÉE ANTOINE DE SAINT-EXUPÉRY,13132,3,-33.394906,-70.58243,1051,1,10
8925,LICEO POLIVALENTE ARTURO ALESSANDRI P.,13123,1,-33.44637164,-70.63096295,987,1,110
8926,LICEO Nº7 DE PROVIDENCIA LUISA SAAVEDRA,13123,1,-33.42441804,-70.61430273,1274,1,110
8927,LICEO CARMELA CARVAJAL DE PRAT,13123,1,-33.44343308,-70.6257531,1769,1,110
8928,LICEO JOSE VICTORINO LASTARRIA,13123,1,-33.43030462,-70.62160765,2685,1,10
8930,LICEO B 42 TAJAMAR,13123,1,-33.42206964999999,-70.60482084,965,1,110
8931,ESCUELA BASICA EL VERGEL,13123,1,-33.43515995,-70.60118742,462,1,110
8933,ESCUELA DE PROVIDENCIA,13123,1,-33.43265348,-70.61798467,1034,1,10
8934,ESCUELA ABELARDO ITURRIAGA JAMETT,13123,1,-33.43379,-70.61178,100,1,214
8938,COLEGIO POLIV. PROF. GUILLERMO GONZALEZ HEIN,13123,2,-33.43966490999999,-70.61657629,472,1,110
8944,COLEGIO PARTICULAR REGINA PACIS,13123,2,-33.44304994,-70.59659856,932,1,10
8945,ESCUELA Y LICEO PAULINA VON MALLINCKRODT,13123,2,-33.43302323,-70.63313979,431,1,310
8950,COLEGIO COMPANIA DE MARIA-SEMINARIO,13123,3,-33.43723099999999,-70.63094,637,1,10
8953,COLEGIO HUELEN,13132,3,-33.377985,-70.57543,739,1,10
8954,COLEGIO MARIA INMACULADA,13123,2,-33.43362144999999,-70.63292953,999,1,10
8956,COLEGIO LATINOAMERICANO DE INTEGRACION,13123,3,-33.44051799999999,-70.61448,210,1,10
8957,ESCUELA BASICA N°280 ASOCIACION MONTESSORI,13120,3,-33.45114199999999,-70.62758,77,1,10
8959,COLEGIO SUPERIOR CAMBRIDGE,13123,3,-33.440315,-70.63028,326,1,10
8966,COLEGIO SAINT GABRIEL´S SCHOOL LOCAL SEDE,13123,3,-33.43198499999999,-70.58551,1776,1,10
8969,COLEGIO THE ANGEL´S SCHOOL,13120,3,-33.447662,-70.59487,723,1,10
8972,COLEGIO SAN BENITO,13132,3,-33.371643,-70.58101,1542,1,10
8974,COLEGIO CAMPVS COLLEGE,13123,3,-33.43704499999999,-70.61461,472,1,10
8978,COLEGIO DUNALASTAIR,13114,3,-33.374556,-70.52093,1340,1,110
8979,COLEGIO ALEMAN DE SANTIAGO,13114,3,-33.398006,-70.56839,1214,1,10
8981,COLEGIO DE LOS SAGRADOS CORAZONES PROVIDENCIA,13123,3,-33.444383,-70.5947,750,1,10
